Hood_ID,ContainsSIS,ProximityToSIS
1,FALSE,Not Adjacent to SIS
2,FALSE,Not Adjacent to SIS
3,FALSE,Not Adjacent to SIS
4,FALSE,Not Adjacent to SIS
5,FALSE,Not Adjacent to SIS
6,FALSE,Not Adjacent to SIS
7,FALSE,Not Adjacent to SIS
8,FALSE,Not Adjacent to SIS
9,FALSE,Not Adjacent to SIS
10,FALSE,Not Adjacent to SIS
11,FALSE,Not Adjacent to SIS
12,FALSE,Not Adjacent to SIS
13,FALSE,Not Adjacent to SIS
14,FALSE,Not Adjacent to SIS
15,FALSE,Not Adjacent to SIS
16,FALSE,Adjacent to SIS
17,FALSE,Adjacent to SIS
18,FALSE,Not Adjacent to SIS
19,FALSE,Not Adjacent to SIS
20,FALSE,Not Adjacent to SIS
21,FALSE,Not Adjacent to SIS
22,FALSE,Not Adjacent to SIS
23,FALSE,Not Adjacent to SIS
24,FALSE,Not Adjacent to SIS
25,FALSE,Not Adjacent to SIS
26,FALSE,Not Adjacent to SIS
27,FALSE,Not Adjacent to SIS
28,FALSE,Not Adjacent to SIS
29,FALSE,Not Adjacent to SIS
30,FALSE,Not Adjacent to SIS
31,FALSE,Not Adjacent to SIS
32,FALSE,Not Adjacent to SIS
33,FALSE,Not Adjacent to SIS
34,FALSE,Not Adjacent to SIS
35,FALSE,Not Adjacent to SIS
36,FALSE,Not Adjacent to SIS
37,FALSE,Not Adjacent to SIS
38,FALSE,Not Adjacent to SIS
39,FALSE,Not Adjacent to SIS
40,FALSE,Not Adjacent to SIS
41,FALSE,Not Adjacent to SIS
42,FALSE,Not Adjacent to SIS
43,FALSE,Not Adjacent to SIS
44,FALSE,Not Adjacent to SIS
45,FALSE,Not Adjacent to SIS
46,FALSE,Not Adjacent to SIS
47,FALSE,Not Adjacent to SIS
48,FALSE,Not Adjacent to SIS
49,FALSE,Not Adjacent to SIS
50,FALSE,Not Adjacent to SIS
51,FALSE,Not Adjacent to SIS
52,FALSE,Not Adjacent to SIS
53,FALSE,Not Adjacent to SIS
54,FALSE,Not Adjacent to SIS
55,FALSE,Not Adjacent to SIS
56,FALSE,Not Adjacent to SIS
57,FALSE,Not Adjacent to SIS
58,FALSE,Not Adjacent to SIS
59,FALSE,Not Adjacent to SIS
60,FALSE,Not Adjacent to SIS
61,FALSE,Not Adjacent to SIS
62,FALSE,Not Adjacent to SIS
63,FALSE,Adjacent to SIS
64,FALSE,Not Adjacent to SIS
65,FALSE,Adjacent to SIS
66,FALSE,Not Adjacent to SIS
67,FALSE,Not Adjacent to SIS
68,FALSE,Adjacent to SIS
69,FALSE,Adjacent to SIS
70,TRUE,Contains SIS
71,FALSE,Adjacent to SIS
72,FALSE,Adjacent to SIS
73,TRUE,Contains SIS
74,FALSE,Adjacent to SIS
75,TRUE,Contains SIS
76,FALSE,Adjacent to SIS
77,FALSE,Adjacent to SIS
78,FALSE,Not Adjacent to SIS
79,FALSE,Not Adjacent to SIS
80,FALSE,Not Adjacent to SIS
81,FALSE,Not Adjacent to SIS
82,FALSE,Adjacent to SIS
83,FALSE,Not Adjacent to SIS
84,FALSE,Adjacent to SIS
85,TRUE,Contains SIS
86,FALSE,Adjacent to SIS
87,FALSE,Adjacent to SIS
88,FALSE,Not Adjacent to SIS
89,FALSE,Not Adjacent to SIS
90,FALSE,Not Adjacent to SIS
91,FALSE,Not Adjacent to SIS
92,FALSE,Not Adjacent to SIS
93,FALSE,Not Adjacent to SIS
94,FALSE,Not Adjacent to SIS
95,FALSE,Adjacent to SIS
96,FALSE,Not Adjacent to SIS
97,FALSE,Not Adjacent to SIS
98,FALSE,Adjacent to SIS
99,FALSE,Not Adjacent to SIS
100,FALSE,Adjacent to SIS
101,FALSE,Not Adjacent to SIS
102,FALSE,Not Adjacent to SIS
103,FALSE,Not Adjacent to SIS
104,FALSE,Not Adjacent to SIS
105,FALSE,Not Adjacent to SIS
106,FALSE,Not Adjacent to SIS
107,FALSE,Not Adjacent to SIS
108,FALSE,Not Adjacent to SIS
109,FALSE,Not Adjacent to SIS
110,FALSE,Not Adjacent to SIS
111,FALSE,Not Adjacent to SIS
112,FALSE,Not Adjacent to SIS
113,FALSE,Not Adjacent to SIS
114,FALSE,Not Adjacent to SIS
115,FALSE,Not Adjacent to SIS
116,FALSE,Not Adjacent to SIS
117,FALSE,Not Adjacent to SIS
118,FALSE,Not Adjacent to SIS
119,FALSE,Not Adjacent to SIS
120,FALSE,Not Adjacent to SIS
121,FALSE,Not Adjacent to SIS
122,FALSE,Not Adjacent to SIS
123,FALSE,Not Adjacent to SIS
124,FALSE,Not Adjacent to SIS
125,FALSE,Not Adjacent to SIS
126,FALSE,Not Adjacent to SIS
127,FALSE,Not Adjacent to SIS
128,FALSE,Not Adjacent to SIS
129,FALSE,Not Adjacent to SIS
130,FALSE,Not Adjacent to SIS
131,FALSE,Not Adjacent to SIS
132,FALSE,Not Adjacent to SIS
133,FALSE,Not Adjacent to SIS
134,FALSE,Not Adjacent to SIS
135,FALSE,Not Adjacent to SIS
136,FALSE,Not Adjacent to SIS
137,FALSE,Not Adjacent to SIS
138,FALSE,Not Adjacent to SIS
139,FALSE,Not Adjacent to SIS
140,FALSE,Not Adjacent to SIS
